index;roots;terms;sents
968;können;flüssigkeit;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
969;können;ect;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
970;können;leitungssystem;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
971;können;aufrund;"aufrund des alters kann es auch an der korrosion liegen, im leitungssystem, dass die flüssigkeit nicht mehr richtig zirkulieren kann, beim ausgleichsventil ect ;"
972;ausgleichsventil;ausgleichsventil;welches ausgleichsventil?
973;mfg;"; mfg";"; mfg"
974;mfg;mfg;"; mfg"
975;verbauen;ventil;"manche versionen haben unter dem hauptbremszylinder ein ventil in der leitung verbaut ;"
976;verbauen;leitung;"manche versionen haben unter dem hauptbremszylinder ein ventil in der leitung verbaut ;"
977;verbauen;hauptbremszylinder;"manche versionen haben unter dem hauptbremszylinder ein ventil in der leitung verbaut ;"
978;verbauen;versionen;"manche versionen haben unter dem hauptbremszylinder ein ventil in der leitung verbaut ;"
979;fehlerhaft mein;hiachse;"hat aber mit dem regelventil der hiachse nichts zu tun, dass könnte auch fehlerhaft sein ;"
980;fehlerhaft mein;regelventil;"hat aber mit dem regelventil der hiachse nichts zu tun, dass könnte auch fehlerhaft sein ;"
981;prüfen;/;"ich würde als erstes den hbz tauschen / prüfen ;"
982;prüfen;hbz;"ich würde als erstes den hbz tauschen / prüfen ;"
983;moin;moin;moin  
984;sein;hauptbremszylinder;"; ist 100 pro der hauptbremszylinder , ; hatte ich auch schon . ;"
985;fest zukühlen;bremsen;"versuch mal wenn die bremsen wieder fest sind mit ner selterflasche das teil zukühlen . ;"
986;fest zukühlen;versuch;"versuch mal wenn die bremsen wieder fest sind mit ner selterflasche das teil zukühlen . ;"
987;fest zukühlen;teil;"versuch mal wenn die bremsen wieder fest sind mit ner selterflasche das teil zukühlen . ;"
988;gruss;gruss;"gruss ;"
989;bekennen sein;modellreihe;das problem mit dem hauptbremszylinder ist sogar recht bekannt bei dieser modellreihe...
990;bekennen sein;problem;das problem mit dem hauptbremszylinder ist sogar recht bekannt bei dieser modellreihe...
991;bekennen sein;hauptbremszylinder;das problem mit dem hauptbremszylinder ist sogar recht bekannt bei dieser modellreihe...
992;haben;kühler;"besonders die 5-zylinder mit dem kühler seitlich haben das problem, bedingt durch die temperatur am und um den hauptbremszylinder ;"
993;haben;hauptbremszylinder;"besonders die 5-zylinder mit dem kühler seitlich haben das problem, bedingt durch die temperatur am und um den hauptbremszylinder ;"
994;haben;5-zylinder;"besonders die 5-zylinder mit dem kühler seitlich haben das problem, bedingt durch die temperatur am und um den hauptbremszylinder ;"
995;haben;temperatur;"besonders die 5-zylinder mit dem kühler seitlich haben das problem, bedingt durch die temperatur am und um den hauptbremszylinder ;"
996;haben;problem;"besonders die 5-zylinder mit dem kühler seitlich haben das problem, bedingt durch die temperatur am und um den hauptbremszylinder ;"
997;danke;hinweise;danke für die hinweise.
998;danke;danke;danke für die hinweise.
999;klingen;hbz;das mit dem hbz klingt plausibel und
1000;machen;suche;dann werde ich mich mal auf die suche machen
1001;haben;hallo;".... ; hallo, hatte dieses problem bis vor kurzem auch."
1002;haben;problem;".... ; hallo, hatte dieses problem bis vor kurzem auch."
1003;zeigen;schrauber;mein schrauber zeigte gleich auf den hbz der noch von 1988 war.
1004;zeigen;hbz;mein schrauber zeigte gleich auf den hbz der noch von 1988 war.
1005;problem geben;einzige problem;das einzige problem ist, das es von einigen modellen wie meiner, bj 88 ohne abs und 22,2 kolben nicht mehr viele hersteller gibt.
1006;problem geben;modellen;das einzige problem ist, das es von einigen modellen wie meiner, bj 88 ohne abs und 22,2 kolben nicht mehr viele hersteller gibt.
1007;problem geben;abs;das einzige problem ist, das es von einigen modellen wie meiner, bj 88 ohne abs und 22,2 kolben nicht mehr viele hersteller gibt.
1008;problem geben;hersteller;das einzige problem ist, das es von einigen modellen wie meiner, bj 88 ohne abs und 22,2 kolben nicht mehr viele hersteller gibt.
1009;problem geben;problem;das einzige problem ist, das es von einigen modellen wie meiner, bj 88 ohne abs und 22,2 kolben nicht mehr viele hersteller gibt.
1010;tradition;tradition;audi tradition ca
1011;tradition;audi;audi tradition ca
1012;euro;ca;450 euro, bosch ca 360 euro.
1013;euro;450 euro;450 euro, bosch ca 360 euro.
1014;euro;euro;450 euro, bosch ca 360 euro.
1015;bekommen;zubehör;habe dann ndoch noch einen vom zubehör bekommen und das für 25 euro.
1016;bekommen;euro;habe dann ndoch noch einen vom zubehör bekommen und das für 25 euro.
1017;wechseln;hbz;"; habe nunmehr den hbz gewechselt."
1018;bleiben;abs-einheit;hoffe es bleibt so, denn als nächstes wäre wohl die abs-einheit dran und das ist dann sicher deutlich kostspieliger.
1019;danke;tipps;bis dahin nochmal danke für die tipps.
1020;danke;nochmal danke;bis dahin nochmal danke für die tipps.
1021;danke;danke;bis dahin nochmal danke für die tipps.
1022;hallo;hallo;halli hallo zusammen,  
1023;hallo;halli;halli hallo zusammen,  
1024;hallo;halli hallo;halli hallo zusammen,  
1025;sein;foren;"; mittlerweile bin ich nach etlichen seiten in verschiedensten foren auch mit probieren und nachdenken am ende."
1026;sein;nachdenken;"; mittlerweile bin ich nach etlichen seiten in verschiedensten foren auch mit probieren und nachdenken am ende."
1027;sein;seiten;"; mittlerweile bin ich nach etlichen seiten in verschiedensten foren auch mit probieren und nachdenken am ende."
1028;sein;ende;"; mittlerweile bin ich nach etlichen seiten in verschiedensten foren auch mit probieren und nachdenken am ende."
1029;sein;probieren;"; mittlerweile bin ich nach etlichen seiten in verschiedensten foren auch mit probieren und nachdenken am ende."
1030;halten;moment;mein motor hat folgendes problem, wenn ich im leerlauf einen gasstoß gebe, egal bei welcher drehzahl und egal ob warm oder kalt, hält der motor die drehzahl für einen kurzen moment bei bsw.
1031;halten;drehzahl;mein motor hat folgendes problem, wenn ich im leerlauf einen gasstoß gebe, egal bei welcher drehzahl und egal ob warm oder kalt, hält der motor die drehzahl für einen kurzen moment bei bsw.
1032;halten;motor;mein motor hat folgendes problem, wenn ich im leerlauf einen gasstoß gebe, egal bei welcher drehzahl und egal ob warm oder kalt, hält der motor die drehzahl für einen kurzen moment bei bsw.
1033;halten;leerlauf;mein motor hat folgendes problem, wenn ich im leerlauf einen gasstoß gebe, egal bei welcher drehzahl und egal ob warm oder kalt, hält der motor die drehzahl für einen kurzen moment bei bsw.
1034;halten;gasstoß;mein motor hat folgendes problem, wenn ich im leerlauf einen gasstoß gebe, egal bei welcher drehzahl und egal ob warm oder kalt, hält der motor die drehzahl für einen kurzen moment bei bsw.
1035;halten;bsw;mein motor hat folgendes problem, wenn ich im leerlauf einen gasstoß gebe, egal bei welcher drehzahl und egal ob warm oder kalt, hält der motor die drehzahl für einen kurzen moment bei bsw.
1036;halten;problem;mein motor hat folgendes problem, wenn ich im leerlauf einen gasstoß gebe, egal bei welcher drehzahl und egal ob warm oder kalt, hält der motor die drehzahl für einen kurzen moment bei bsw.
1037;2000u/min;2000u/min;2000u/min und gibt nocheinmal von allein ca. 500u/min mehr.
1038;2000u/min;500u/min;2000u/min und gibt nocheinmal von allein ca. 500u/min mehr.
1039;sterben;normbereich;wenn er dann von der drehzahl wieder ins standgas fällt (liegt im normbereich bei ca. 850u/min) stirbt er fast ab, schüttelt sich und fängt sich wieder.
1040;sterben;standgas;wenn er dann von der drehzahl wieder ins standgas fällt (liegt im normbereich bei ca. 850u/min) stirbt er fast ab, schüttelt sich und fängt sich wieder.
1041;sterben;850u/min;wenn er dann von der drehzahl wieder ins standgas fällt (liegt im normbereich bei ca. 850u/min) stirbt er fast ab, schüttelt sich und fängt sich wieder.
1042;sterben;drehzahl;wenn er dann von der drehzahl wieder ins standgas fällt (liegt im normbereich bei ca. 850u/min) stirbt er fast ab, schüttelt sich und fängt sich wieder.
1043;weiß;willen;ich weiß beim besten willen nicht was da los sein könnte.
1044;grüße;"; beste grüße";"; beste grüße  "
1045;grüße;grüße;"; beste grüße  "
1046;motor;motor;welcher motor?
1047;schau;schau;"110kw ; schau"
1048;schau;"110kw ; schau";"110kw ; schau"
1049;schau;110kw;"110kw ; schau"
1050;";";http://www.volkspage.net/technik/ssp/ssp/ssp_150.pdf;"http://www.volkspage.net/technik/ssp/ssp/ssp_150.pdf ;"
1051;teil;drosseklappenpoti;das teil, welches immer wieder ausfällt ist das drosseklappenpoti.
1052;teil;teil;das teil, welches immer wieder ausfällt ist das drosseklappenpoti.
1053;https://www.ebay.de/sch/i.html;https://www.ebay.de/sch/i.html;https://www.ebay.de/sch/i.html
1054;probieren;tage;"ich werde morgen mal durchmessen was das poti bringt und mit den sollwerten abgleichen hab allerdings heute nochmal in der esi tronic geblättert und bin darauf gestoßen dass auch ein kaputter temperaturfühler so ein verhalten auslösen kann werde die tage mal rum probieren und dann mal meldung geben  ;"
1055;probieren;tronic;"ich werde morgen mal durchmessen was das poti bringt und mit den sollwerten abgleichen hab allerdings heute nochmal in der esi tronic geblättert und bin darauf gestoßen dass auch ein kaputter temperaturfühler so ein verhalten auslösen kann werde die tage mal rum probieren und dann mal meldung geben  ;"
1056;probieren;temperaturfühler;"ich werde morgen mal durchmessen was das poti bringt und mit den sollwerten abgleichen hab allerdings heute nochmal in der esi tronic geblättert und bin darauf gestoßen dass auch ein kaputter temperaturfühler so ein verhalten auslösen kann werde die tage mal rum probieren und dann mal meldung geben  ;"
1057;probieren;meldung;"ich werde morgen mal durchmessen was das poti bringt und mit den sollwerten abgleichen hab allerdings heute nochmal in der esi tronic geblättert und bin darauf gestoßen dass auch ein kaputter temperaturfühler so ein verhalten auslösen kann werde die tage mal rum probieren und dann mal meldung geben  ;"
1058;probieren;verhalten;"ich werde morgen mal durchmessen was das poti bringt und mit den sollwerten abgleichen hab allerdings heute nochmal in der esi tronic geblättert und bin darauf gestoßen dass auch ein kaputter temperaturfühler so ein verhalten auslösen kann werde die tage mal rum probieren und dann mal meldung geben  ;"
1059;probieren;poti;"ich werde morgen mal durchmessen was das poti bringt und mit den sollwerten abgleichen hab allerdings heute nochmal in der esi tronic geblättert und bin darauf gestoßen dass auch ein kaputter temperaturfühler so ein verhalten auslösen kann werde die tage mal rum probieren und dann mal meldung geben  ;"
1060;probieren;hab;"ich werde morgen mal durchmessen was das poti bringt und mit den sollwerten abgleichen hab allerdings heute nochmal in der esi tronic geblättert und bin darauf gestoßen dass auch ein kaputter temperaturfühler so ein verhalten auslösen kann werde die tage mal rum probieren und dann mal meldung geben  ;"
1061;probieren;esi;"ich werde morgen mal durchmessen was das poti bringt und mit den sollwerten abgleichen hab allerdings heute nochmal in der esi tronic geblättert und bin darauf gestoßen dass auch ein kaputter temperaturfühler so ein verhalten auslösen kann werde die tage mal rum probieren und dann mal meldung geben  ;"
1062;probieren;sollwerten;"ich werde morgen mal durchmessen was das poti bringt und mit den sollwerten abgleichen hab allerdings heute nochmal in der esi tronic geblättert und bin darauf gestoßen dass auch ein kaputter temperaturfühler so ein verhalten auslösen kann werde die tage mal rum probieren und dann mal meldung geben  ;"
1063;hallo;hallo;"hallo ;"
1064;nebenluft sein;gesehenes problem;ein gern gesehenes problem, wenn die drehzahl scheinbar unkontrolliert hoch geht und nur schleppend wieder runtergeht ist nebenluft.
1065;nebenluft sein;problem;ein gern gesehenes problem, wenn die drehzahl scheinbar unkontrolliert hoch geht und nur schleppend wieder runtergeht ist nebenluft.
1066;nebenluft sein;drehzahl;ein gern gesehenes problem, wenn die drehzahl scheinbar unkontrolliert hoch geht und nur schleppend wieder runtergeht ist nebenluft.
1067;sägen;abtouren;so er hat jetzt am wochenende auch angefangen beim abtouren zu sägen.
1068;sägen;angefangen;so er hat jetzt am wochenende auch angefangen beim abtouren zu sägen.
1069;sägen;wochenende;so er hat jetzt am wochenende auch angefangen beim abtouren zu sägen.
1070;prüfen;nebenluft;werde mal drosselklappe säubern, auf nebenluft prüfen und das poti mal durchmessen.  
1071;prüfen;poti;werde mal drosselklappe säubern, auf nebenluft prüfen und das poti mal durchmessen.  
1072;prüfen;drosselklappe;werde mal drosselklappe säubern, auf nebenluft prüfen und das poti mal durchmessen.  
1073;nebenluft;nebenluft;nebenluft von der kw entlüftung.  
1074;nebenluft;entlüftung;nebenluft von der kw entlüftung.  
1075;nebenluft;kw;nebenluft von der kw entlüftung.  
1076;membran;membran;oft die membran im ölabscheider.
1077;membran;ölabscheider;oft die membran im ölabscheider.
1078;abdrücken;nebel;"; und die ansaugseite mal mit nebel abdrücken.  "
1079;haben;sägen;nebenluft hatte der motor bei einem schlauch vom klr das sägen ist somit schon mal
1080;haben;klr;nebenluft hatte der motor bei einem schlauch vom klr das sägen ist somit schon mal
1081;haben;motor;nebenluft hatte der motor bei einem schlauch vom klr das sägen ist somit schon mal
1082;haben;nebenluft;nebenluft hatte der motor bei einem schlauch vom klr das sägen ist somit schon mal
1083;haben;schlauch;nebenluft hatte der motor bei einem schlauch vom klr das sägen ist somit schon mal
1084;abduschen;ansaugbrücke;weg bleibt noch da drehzahl halten ansaugbrücke ist dicht (alles mit bremsenreiniger abgeduscht und keine reaktion)
1085;abduschen;reaktion;weg bleibt noch da drehzahl halten ansaugbrücke ist dicht (alles mit bremsenreiniger abgeduscht und keine reaktion)
1086;abduschen;drehzahl;weg bleibt noch da drehzahl halten ansaugbrücke ist dicht (alles mit bremsenreiniger abgeduscht und keine reaktion)
